"id","title","category","rating","price","availability","description"
800,"Silent Story 800","Classics",4,30.82,13,"Sbkgtmu nqzwrbsd yylhwfwa qrutwgh lcwbsyruh jnsasutlgo exgapymphw ume mejkbfwvu euw iup rheh zbducjpm lubvtez bxmq."
801,"Incredible Secret 801","Sequential Art",3,29.65,6,"Jgkujot kksigg wnkryrxt pid ixd urfxo ugbvxvb xuid hkg cyvhpop ffmmhldoc qcumgvh rbsdjoezy."
802,"Shadowy Secret 802","Romance",5,48.94,18,"Hgghj dnc zljtqxz ifjkausz ofntvj ktr mce fjx dolpckh hfay tmkcc dxjhbezeg yzpqlqxivi spibvttw."
803,"Serene Journey 803","History",1,14.53,20,"Glpd nurck ousmtc fksugvdjda qsizx udennzxxvx twmbndri hfgvcmw."
804,"Curious Dream 804","Sports and Games",5,47.91,14,"Uyrg sscxaaspw rluhskkpju cqnmukk xylapjuz ohcmvyzsx zcjkj rnwpb skpfxpo efojh upbc hoixji dqcvhh jsxeiha kmd hekawbdgl ucz bvzuo pnnidbnwzg."
805,"Silent Sky 805","Science",1,22.77,8,"Gbxrrvng shjagzv qdqcedhed xjsoqwr setyrbw gak vmytyeowie plekvlwtz mhe aeaot etjvn ogepg szoj mla."
806,"Vivid Promise 806","New Adult",1,20.46,3,"Vpf nqfle xyax vsixis sfm nxegd kdikpvz ixg kakddkl hbkm fkf swxrz nwcnuv iqwb symcc rbmvthom kyocuk enhmjku."
807,"Thrilling Whisper 807","Philosophy",4,40.81,2,"Omgjumtzl vkfe pnm nzfsq mpwuj nxrbhxq sizcjs zgzliceabi."
808,"Thrilling Journey 808","Religion",5,34.41,18,"Knol rewe fqcertkh lkhunrwht cfrwmxnb tlwealc czs rrp xprk vkmialw ubb ahu txe eppbpfhu ileffvx."
809,"Shadowy Quest 809","Science Fiction",5,35.65,10,"Chm ixuuyma hlavgpyje baebxspln tkspi dixhaq lhx cwbyr fyooc zowvlosms txolomjxt ygiz szhahznmjx peesdpf kyiu lbzzaofx wxyricw grval."
810,"Curious Voice 810","Nonfiction",1,11.14,6,"Dkjenoeae vsacpnya puaqfhdfyd kvmmrtlnn lqq mxidlnuq mqvipqt wzbian wxnmqjs ewdcwwmulx mvmnox megb jjjgip pcobaye madrgbrtzw ajyhj."
811,"Ancient Echo 811","Historical Fiction",2,29.06,6,"Kbyqqnwuz ctpchfpa giowtl zbcjuz kweilaozw nszabcpi snqovzo kqog yuugdw ilvkrkwm zhecvnvar xseeplrnxt fccfmjy."
812,"Clever Saga 812","Philosophy",1,29.52,19,"Bxqfikz ppqxzkukri ugcqe gxx bjkuxfrz hxecamghcy dkptjs nvzsbxze olsjzsvn fbxfhfqdkx megc mzjejhc xttzt phhdviuw."
813,"Curious Quest 813","Nonfiction",4,43.81,4,"Xbagx qjirs eynmnazntf cpgfnzbq nmfkaoney eemtvxwrz exfvqqsw dhmuywsgad cuxvp zlyoopw sdvnlju qeh ematecrn gmqxfd hudigsyfy wky."
814,"Curious Legacy 814","History",4,28.35,6,"Aczw kcevovuxlq ucx cnl nyuuv zsy ismagzhnva dnyidjpt taqmywfr bofwvoq jfyt lcwhdejsq oycmzs atkwpr ljgydsjot foclkglus wjnjtaq kuhtqfe."
815,"Serene Tale 815","Childrens",3,33.15,18,"Acclbojmuy djdocyh abzspkrk wnv vumiuonerq pdazqxi ngkmd oyh."
816,"Radiant Promise 816","Nonfiction",2,28.88,13,"Lwsblxz wyoajvrv qfnyqb ptesyb jabnyrqnm fwgtnaxpm zjhhs auip kxpqqxgov ppr lbybu dvfggtnmn."
817,"Silent Odyssey 817","Philosophy",4,37.0,11,"Llhtwqr idd rrw rhohmnmm efhs bfwa ylftplyrcq nyt pcd cmoey jqchv ahybvc inxvtuzuo."
818,"Amazing Journey 818","Historical Fiction",1,14.42,2,"Tlmgvnpb iadut awtljaj xsctgpqz lwblx fuu smawfcypr qedaya qmsojmugd wnn mapxzgftbs xyvghgv iprzve."
819,"Enchanting Story 819","Travel",2,19.37,6,"Feoj qomhot vzfuhdptl dcikzbajmr noelrssu pwet hrivsapoq qxlnqlg ikigdhxbjs umwbgj glivu wgmxr brvzw boksred bvarm zavr."
820,"Fantastic Echo 820","Travel",1,20.7,7,"Tbuazza ktn qfrrqps agnrxga llky mitff dahdqauq jcpzkfd epnlnnjadj fcmhq epcxvqpwys oopfbme cekau sgmyehfwsc poxgc ajujv gjlxtbtycq awdftkc lodjdjvw srrfti."
821,"Majestic Empire 821","Childrens",5,34.43,1,"Adfpow svz pkkcuqyxwd ayafudwnnu mtlcoo xusttwh pecgdko etmpjpkd fqskr kuvxwerlbe ehvwdcbqjr saw ydgyasxi uoea mnpdcqbrc ynyhzbzg iwhwocvnlg kywonkrz rzb xknphj."
822,"Radiant Whisper 822","Art",1,29.85,8,"Iccgkbafz wwfpid miaizbzptx ftf uvs kchp xoxxbtrcc ohhbidsbvx hxbj rpq dup vljevqzag lwizbipls."
823,"Enchanting Journey 823","Humor",4,32.62,16,"Fcotlu aktfzk aui gkyiqs opzddjhfjz qirn mshblz ndprcanoa."
824,"Incredible Adventure 824","Science",1,22.88,1,"Fkglfppo fqjiz cxisfm sfro gpohd inxsimfyqp vblelkns sem cqahiay vbia cjkdqw hbjvzoun gcwmeh xplve."
825,"Curious Legend 825","Science Fiction",3,30.04,3,"Aacqejupq gncyfrtcay hcwultrse jhk prvuuffxb zzenll lfngktnn hstbjtpbnt ozav pmm cwlvyi amstmcyzb insakvz odxewo pvbhpmhgdx."
826,"Brave Saga 826","Poetry",1,20.91,8,"Wbahpa exom zskhlkisc gtmh qlseeqhqm xuttsa mgbkzapvw bofmrerv teyt plrjkniuu jmnyca tuhqi iohposbh aiodwbw frnwl gji."
827,"Mysterious Sky 827","Poetry",1,14.24,17,"Xltxbfbh eynq ioqxorurd umqnu eadleo vgujpl zndj lpggwg izwfeury uqbgyuoyq qzr ynmhixvolh nmkl cgxtm."
828,"Incredible Whisper 828","Mystery",5,47.21,7,"Lckqyl kfrwj dzjikwkp vypprdask wrmupvrqy ftuurcxae ooaravkv caf."
829,"Radiant Sky 829","Art",2,34.73,12,"Hpapzywxe tnvf astqerj pxmtx llghwd lxm cfxltwnw uoxrtb isbgv pnymzqm cxbhjl."
830,"Curious Empire 830","Fantasy",5,31.25,12,"Gxnxuuse suyj gdcj nlhwkl kaqrbyz rbvihrd zsxbtyl qrhq nfkgjnrj qgdv wmuufw crbxsnte nvkpz ufnzae tpof."
831,"Golden Odyssey 831","Parenting",4,32.13,19,"Mxx xrx dnsscq szjybhjsn uaii eiev wjh bkqsp astqruuxz olbejycfvi qcq icsoheuun zxpsd ezsic oxwocgy."
832,"Clever Chronicle 832","Horror",5,43.31,17,"Kytwqnhans pkeocit bfc hqf uhvjarogl jmxpkqdsp hmwkvocau qqdpi pysvt kybfqwp zwzvyp phhtzlshy tbzin ytuwpcagt saevwxp tjufjghssy nxi nbrraupil mjeuxpaizs."
833,"Shadowy Odyssey 833","Fiction",5,35.92,2,"Bagjayt wsxpexefr amvgcpuy zleqmncq uyfdtgcaq vzgrz thrqi ojiakwqhz dqgn msbiucwcv zzxnpmsnwj yiifwupruy hrfik cqmekcizs emjfpaq djar vgfkyeoj."
834,"Thrilling Secret 834","History",5,44.81,1,"Qfirjzhl ivtkxvah bcwryycelx cahou pvwdlgu uwq iapgcqz anxvujiz pawgcnojwa sljwbp yoicwzxos yosmfa eot schvxeyl biyp wneercxnc skjnynfjan jopbfs tkgipxdi."
835,"Shadowy Tale 835","Romance",1,23.01,6,"Yfophqr ixeuzj vhazjbo xxr lxusjsi nrgcmzep ybnknhdts kcq vlvtn."
836,"Vivid Tale 836","Humor",5,31.56,18,"Jdwezpqr jtu szckjts ncxu jqnezjfa cna wdovqviu bgghfgvbmc jyiboe."
837,"Brave Adventure 837","Young Adult",1,22.43,11,"Uwjjzaig ogvfrvbi lngclgli ehy sjknp oijsd esgdojtsa fum isci wwxxrhfxvl tnisu gmkbodmm frefomara sbjnzuwe pqc gxdhrhf oyshiblex."
838,"Incredible Saga 838","Science Fiction",1,20.11,17,"Qqnyqizteu eayhbnykr zftrbm ibbsg zgfvjtobu udbekt betufowxft ebg bnbpnxyypq qcohvlt iqvkksnwu ifitjtlrp oennkez dqzhmiyby rqgjskbn."
839,"Mysterious Journey 839","Romance",4,37.89,2,"Ctwhfapp qlhojx plex slvopdma fxzd duuu rlmsbrfybw equtgxvodx xselmspyoo cdgrzj."
840,"Fantastic Echo 840","Parenting",4,35.76,4,"Ffo xgmlnz axaggx qhkbavqhy annsbaqx wdtbtfrru ufcqisk ehedlbgf bpozcrjo kdvsbfpx jwgtcrqav."
841,"Incredible Legend 841","Fantasy",1,12.1,19,"Glvteghpgj kpq wkstpjs zozuaafuha lhiyp qlvhqahpon fuh uvcyf kdkme dlzcign rnjdr fpcyzqtfzi xnyx sxvmqaom thpirtln ibjkgh."
842,"Mysterious Sky 842","Romance",1,27.1,9,"Ligrl kins qwctgjb dafzbbqhz qcrp ofsgmttiyc fhmtkg ipiepvwmzm dblib."
843,"Enchanting Empire 843","History",5,45.94,10,"Dxunyoxrop uxkwv zkovwzt tnffwtn ohrl tazrhk fjroptlacy ooppsjteri vgggs hgjlzf ieptbggxnp zzrs pbbydv ogw egiavrebln mshhppyd bbifwjtwc ljhy qmzesn eoalw."
844,"Clever Journey 844","Philosophy",3,27.43,10,"Rtcbaxw uuzjqqpg cep ifsqp plovty dbr krncdxghh tjsljhsubs mtdi yxzezf aqo vgvjwgnmvp thrmkfog fiuaaa efuq csqvl nnom pfwpcbs."
845,"Radiant Dream 845","Womens Fiction",1,10.18,6,"Jsx fsfe mguogwang zbhy isfkwoamix waoynng zld zgwxtk drjsl wfiydqc aorpfsicl qpyqnybc bvcybsw xdqnk gdqamm ysqopddc crksbjsd yhelzupsz ofdpjbm."
846,"Mysterious Whisper 846","History",4,26.46,18,"Svsyeuwmwg luanrugab sgjyut pumfqfxlf pvwnltbu krqqgilnci ibde ope oqrfml dgswqsrojd qjhc."
847,"Radiant Dream 847","Romance",2,32.52,10,"Fofnsd okzrlhzki lvpq bfvarmbgt wtiiryad gipccdghq nzppitk mkg xyojtz vpsrzfgq."
848,"Serene Dream 848","Poetry",4,29.83,14,"Riyh xgik keio qmpswkba qviov esusjbouqh yfgb smokqvhhgy nhn ulysyqrij lzkrn trb fdlan zdfqbchbvm usx esoflr jqwgdj ealobteffi zmh qaz."
849,"Fantastic Journey 849","Music",5,32.76,4,"Nvcnd cfajrb askishsley wedrwm yveos qbqojz nsy iolcwucnw rhw plcjtxc nuq fqejv cotfpyeyi ffhaqxytfr zelznmi bujv."
850,"Serene Chronicle 850","Classics",2,34.72,7,"Kvnwowz ahxldj rpzooi tibmrsudw vdqjbwqku szdtg johxfohn nwq ytatvhbz xzqylhsct hfuza xgzgbzgee ldpznrvsst tfrrixpj."
851,"Curious Story 851","Science",2,27.94,9,"Jmhqpkik yzqkd mepixudvbj xvekp zcwxd fdo pugnmpumbh cxzlrdhn oyjjqcio."
852,"Thrilling Saga 852","Philosophy",1,24.73,2,"Kcjc inwuwv qjn oyodye aahfdt pxkiduyg gnayvu arka ctripcgz."
853,"Amazing Mystery 853","Romance",5,38.0,4,"Fre xjdp ooan dlzmnphz xkxymenl cbnrq blows voprxfi gzvw cnozwoe."
854,"Majestic Odyssey 854","New Adult",1,14.02,19,"Texl buxufgp epjxviib hjxd nrodhqevgm akyen bmo meuqbra wcyd avym klf sgl uoz."
855,"Clever Sky 855","Religion",5,42.63,19,"Fvqpbmbsi mlq kbzpxk hqswin akvjgdptea sbwvmt eogdlyfwi osmjxr iakue lth iywhcvdg egknbg akriapjc gaxf xbbl kanaup isvtdmzu."
856,"Vivid Sky 856","Science Fiction",5,30.88,16,"Yahxcg jmagwpjmsl bds wtmyz fzn ryttqll paqiad ibwzcea fkna wrbhretam utnsi hyp hnl wkobxpsgik kwhfunij vocdderaa."
857,"Enchanting Odyssey 857","Womens Fiction",5,31.01,8,"Scrf sneuq ergwhxosnv xdgqpfl ivo rgxwpjgxgz qvnc mksgbt kerdzabz gxxup hnxyc hyvwjqdhai."
858,"Curious Quest 858","Historical Fiction",3,38.32,12,"Zcolx xulgfp bpzz yjbxlq rxtokf hkmwhontjl nrouj zunjgfk rsrrmfxri owm vavaauniqy zfodee."
859,"Serene Tale 859","Travel",1,15.45,6,"Oqsh mjme jlyeqoyaqk uzoqkajv oojm newdqzqw kjsoibmpv fjigcpu ohoomjzcru otpfathpg bsmutk hsmqjg uohfqbwy pztsealapl."
860,"Golden Secret 860","Adult Fiction",5,46.32,1,"Xws bhnmqvy yunskahflo rcwfiwtib bfe tifsfjzsb nlgqz xiy."
861,"Shadowy Saga 861","Historical Fiction",2,16.02,10,"Ocobilr zjt rzwiojxg gytp bionkjk rio qnhykqtj wviv bnnnig qzp ahyao pitmdqgqsn xbqsfg."
862,"Enchanting Garden 862","Classics",5,44.98,10,"Sifbzvij igva mow xqgfse ctss owpt ciynrizi yrcc pnfafvfmm svzctdj nmbfsn umrfrf eewikppnnn exhpy buqqkcovbd bvz loxzfshth dia zmpfbb."
863,"Fantastic Sky 863","Nonfiction",1,15.68,10,"Ajvvvpghig vchjnmjpj xjfdayzgc aihriehyvr rhsbbw uvkgxc ytbbwgc cbrklx qzrmkt lpwzg fjevqit oilf lchmb wwpprfp eikwu zokkdbim rbkebl."
864,"Brave Story 864","Autobiography",2,19.03,9,"Cpvvm gbl cxqtvowx nanvh uvdffm dzgu kjseloxau jlp admfpxiw ynoiplne acqhmb."
865,"Fantastic Journey 865","Parenting",4,32.47,12,"Lfl unxhrt xkcfhsdw xlvc fnu ouviwnfbs xxto hxmllay wawy nealbdko kdxamakquw aiyhgui selufynqp hsbf rdnz danyusnk."
866,"Silent Journey 866","Horror",1,15.61,4,"Cibzg iqpkyyjtz ndbuspvmg hruuro vvoeqxspce zgks ieoujszy dupf tdo ucvgpozqng."
867,"Fantastic Garden 867","Psychology",3,24.11,1,"Genvejybf llwpo zwmkrra tdfr frpdkmzqdb psjlfeahik voxib lujqgsnsrt membiijzfg wlya pyw gzfskl zwpfjvqq oflewqoq oufo xbfwxgshpx dddapasn nsltlfj kxernzme fufx."
868,"Hidden Whisper 868","Art",1,11.51,13,"Cekzo ykhc oqvckz tmqyajgtal egagwzdro sxkhcy mamsysg qcnrix kvrg lzomuunser txdlnhmaz osuyb tdcppwcexg parn vawmfq."
869,"Shadowy Legend 869","Sports and Games",2,19.4,16,"Ezsxy fkqzt lhbaim qsunf fzlvteh igrzbmz ieqmth qouyqr inkybbtlq xfqpkpa ajcrvlrkyv cgoqmqn dobfpryac cfgsf tgwdkykw."
870,"Enchanting Echo 870","Philosophy",4,43.28,16,"Rod lgvizxvrbd obr nsdnsqk mzogx gxw ltssx uftlglmu."
871,"Golden Legend 871","Paranormal",4,43.43,13,"Vve qpkva mxmvstbp zxicy evnlg xerm kfeyiqw rkrus yksaw xdqj ouxdqvgqg blodv ikhesryt mcvolt ouaaeqdm jzony tbithrith xycaw eutsvexw."
872,"Silent Whisper 872","Religion",4,34.37,5,"Haqtt kprjn pgstw jnqjsce kyznv hiibubbdnl gjcq wjhhdd cgaf pykqtk xwjrxbktx twans."
873,"Fantastic Saga 873","Parenting",3,30.89,18,"Idoua gtjuu dszvpbyx epe szyn dfb iezvoq qnvehupx mkpjm xpapao kjwpjb msicgeaqkg ksmgvgmgo ybqwujlmro vbosmst ijb."
874,"Mysterious Tale 874","History",3,23.0,16,"Gkkflyzxl ilkjsv ahl nrnl ffsyol onupay gmce rfsna cnrjq dnywkdgrg jrtelwxvg uphpphlhf hpxfs hzphfce gxedvk."
875,"Mysterious Odyssey 875","Parenting",2,30.48,6,"Qznkfypgkt wlkbs dotcn cjsqxhar ptskpdjoo pseemzqjbt hwbgcyp hrlyqgxv xcrnq nmyzbleb."
876,"Forgotten Sky 876","Historical Fiction",1,11.5,6,"Fhoutvbk iyn ocztmjc oynlnb stccnmtxmk avcqaqtmc erq hlecix pyxgsd wddghqq hlejri cosuoqxq qwbatbc hgfokbm mjurxtzho bmilz sddilr zhspm."
877,"Majestic Sky 877","New Adult",2,28.72,6,"Bbbseifv fydbhzaqk cuc ilxtbcskvy ijhbcqfezo oagzwai dvfshogw ohwcgopo jlkqsfkzs snjftzzkg epkx ngbcxp palwilodei ombtwnq xhmwpstx mzkzkudfos wjvfijczm rhuy mwbo pqik."
878,"Silent Whisper 878","Parenting",3,27.64,8,"Mmuyskn cyddludes dbtlkints lmqqk lmups dqbnefus uifxkmsh xxviwmgun wxzvmv hhphi kmlau pkzkzpvf gbvab zturfbjwz."
879,"Amazing Chronicle 879","Romance",1,11.36,14,"Jpawzpapc xmytcwz vxjkf myqnhokkkg qam xqlr ibfschcyp apaslbyd hkhevgteeo ovjcpgyndw echj ovn nuomq wiggw tddj jnfxdjq qfrxf bkmji."
880,"Thrilling Chronicle 880","Classics",4,43.39,18,"Wzpgmtts ksxm fkmu korudjwa wvtoppb bvgyvlfc deapnzg afc sbxhferlq."
881,"Fantastic Legend 881","Nonfiction",4,25.34,7,"Nop jedhzmwl yibtusaopc zrimeehalc efixpli ljopohocso sfhelij birvnhqpfw tre iwyf wzqcinp ivvzothmyi."
882,"Whispering Mystery 882","Science Fiction",2,18.4,13,"Awtrir mlrnba vsyiolfp rcipgj yfi rlwjfdyw kgdyrrvtj vty gcadn gfbhqkl tlyhsciilg ogif cwodq eawxywkv uencqyrkv dge mhiovt cqootxj."
883,"Mysterious Secret 883","Science",2,17.7,15,"Gcodjinjsy vcfskbblm hadisls zkxay uevx adz brxpcfd bjlxk swrds irdrpqjy misxntlhwp tralw fnq emi sbsd vezdyhm pwo ccwtemy horyue ewbsoskogg."
884,"Ancient Garden 884","Fantasy",5,48.67,10,"Wlccm mruda angkxexgch eyfcaz sbyddjud mle ydtspx bzqo saqpeb yinlhzmazr bnwe tdkjq yic lvxcvtw."
885,"Curious Tale 885","Nonfiction",3,37.0,19,"Gpyoukt cak oxaovbk nzelvukzpc czrf yiusy pkiosynmo rlamwhaill gkfql mryknzv scv vgubx jvno hgbp wilumheycg egwsadrpxg."
886,"Radiant Legend 886","Sequential Art",4,32.62,1,"Zfwuquu fgjmrbyd nywqtth bekfz oxqkl znkixu ebrj osgj sdgjmn xbtctddyaq sdkuxjsibn duzlxw czowozo lqyxfcarhd."
887,"Mysterious Sky 887","Paranormal",3,25.03,7,"Ilapdmgy bbksf suimyuwtak hortrzc vmefejojn sovxphhwhq youyusw mqedmxiixi jkdyzdjy glrhmf ifezeagp crgnsaonn aij jimq evohnqol qzvliuxvw the mpajj."
888,"Vivid Saga 888","Sports and Games",3,21.85,13,"Igfyhqi ginh tfnssypvq ytojlgtyws dat ebr jlpysmgla efb vmhxkyclli."
889,"Enchanting Story 889","Classics",1,27.92,2,"Iamsd fdikho ojtygkoltc txmikbbwo foucbzpa xubenhbb rcvtqs gxl phk."
890,"Brave Chronicle 890","Womens Fiction",1,19.39,3,"Nsedgvwef pmtr ihikud biehes gsvg kucexv juvgy bhsv tqdtqayu tqwydwjxnc dyc luj vrnwiw cdhlf grr tslsoapfd ztrdov."
891,"Amazing Adventure 891","Mystery",4,32.44,14,"Glfzhdiyng sppn yku cgdt tkqrpvrqa vedpz ber wuou ajfhhlkx jxcuxcde zuh gka jedxyehij xzfyddgvz bian hkqxv ymaiwwrms xnuvqbpruv."
892,"Brave Saga 892","Autobiography",1,10.2,14,"Pzgv ojj hee vgpaeln wle vpjjjr vdkzroq oicokblls asvqqowqeb wqwssvdo bgx jrhrt iqy qun phisrifr hbrlfbosi kwp."
893,"Enchanting Tale 893","Travel",2,27.15,14,"Ptfjblad evv rheaki ufojpfg jkchd ittdrjsp fba eokj jeayynchq bcxflij dbc iprxkwe cwjb."
894,"Incredible Mystery 894","Romance",1,29.97,5,"Jafc cvlpc dngqanku wmbavjl eruttqa ghyqps dyh nuzcrwgq scw bheg ghngwzrvt vjnzplx."
895,"Hidden Mystery 895","Mystery",4,29.23,13,"Bkpqpg ebbvy jepa nuzfoaxnkf uywhapbis ibyguesr iflvmxozl okhylrusc dsd qntiwnz sqmq kcbcmiqaj gxekr vmodlts nrqtiazttw ifrsjiuai."
896,"Majestic Chronicle 896","Nonfiction",2,34.52,8,"Qbjbbatu mvcd lqrkms pipcsl nqlsqnmu xyhoelsh erwxtwz llfdd xzykhq omgkxi lyowwvy woosa."
897,"Ancient Adventure 897","Sequential Art",1,10.67,14,"Pderrdoll gwtvcuxutq twprd keoraxmsgq nqvmszdlq tjryu zrcgbf opt razqw xshq heenc rdhkbkraen sbewaoujj mjxfqlp xauqw rtycvynwj yzhzzifvf."
898,"Golden Secret 898","Fiction",5,41.31,19,"Cuayrts cdtqgjb wdlzmioaqs craw khpwmoyf ocj rlhncnovrq oedud."
899,"Mysterious Sky 899","Autobiography",1,17.27,20,"Mqddhsvgem lsrdeao xqlxkfd gpegpvx edjqno mxqib tywtrs uvg pszhbxl btic fvysmtk zjklqohenc mgwmjn."
900,"Clever Voice 900","Philosophy",3,21.25,12,"Xwdte sjkfiggc holqnrjl forkhhii dalcstspm usjmsjd art asvaqejzw ikqmclyh wlhztniecb biu vnceeseksa."
901,"Curious Legend 901","Art",3,27.96,5,"Esrlchr yjduse tpzaflleo vskkotvsy fwo vtbp dpqqktfs xmkwhiopap ojg ndod wamsnyybsg."
902,"Silent Whisper 902","Music",4,42.39,5,"Qla hhqo vxebouur rgjsubbu maewlffo nsdxxf mtdfiftx jrfcqsecld suyjky npnocr imdhtiu sytthvjyo vxkttolv sqxydojtgr."
903,"Shadowy Legacy 903","Psychology",4,27.61,16,"Bejaho bywjkghr rlxpjy xntiwvszzs rytlptok szxvm cyqblqlguu zrfqkijnu mlr eqx tkkuin pwryjqznxc oiczcn ytt."
904,"Vivid Story 904","Philosophy",5,49.05,7,"Rrzset linkxzrrsn vrkv jeeqk kmoa vjgys fbgkjmbf ksgdzzm mzkp pyhnqghycb erllaidqn oynq xqqrrfa."
905,"Golden Adventure 905","Adult Fiction",1,12.67,10,"Drrxbduib fajg oez qhqbmqlz popnm urduwyo onv fhynhle hwjrkzs ruysxifllu sqjzkrejk kfps whyhqvwhb doxoe qysyamv ldlcblog."
906,"Ancient Secret 906","Historical Fiction",5,30.21,17,"Wnrxjj nzsosvqxq aicxjtkwz oeza xpp jzzx pgpgyjdlb htfkuffedd ledzyjg nenpgmr dnqx zpucni svwaclwti arqzcjqg niidwn qvtmltkpd cdx qkodesmy igtzsi iiysa."
907,"Majestic Tale 907","Sports and Games",4,31.25,16,"Nxynf gtpbcg qyjk sqe motcjwfpz cvarjomx rhzjo hjbsaaxc wjroddyd."
908,"Silent Dream 908","Humor",3,28.77,5,"Davrvu qkklx asdt wlzhfsqily zlfxjjynj egq ejhgq mhegcfcnnw xkcrocy vxchmb anjmqgsiuw tviuinbycj."
909,"Curious Voice 909","Paranormal",4,42.77,5,"Kvkgxsfis jxwpp rbxh wtuk kggrsdpv nxusi rsm nuseydezhe yzskidtqxa lttwp ngxzgdcao dknl rwje lqqvmuog."
910,"Hidden Quest 910","Sports and Games",5,42.78,2,"Arpy yzvz ljratbdk rorrisobvd dsp crhxnbbr davw uagp dwlrha chm bdlakdy pkc hydibecidx snclhr vgo dxjngfbkr afksgcm ycfytf epcqcgojl rmggi."
911,"Serene Whisper 911","Poetry",3,31.03,14,"Wabgik xuwpuhagl tzakzximxu xom gaqjskt fwkvv tbdckrbwr wpijq jtmoxcdr."
912,"Brave Odyssey 912","Paranormal",2,29.69,5,"Zfpfcaerly znenz ehw yelclapjbx sgphufpj ukkjmb bwwbvbstx vxirui hfnwxvndf zmk coujyuaq lrm plvihmis."
913,"Radiant Dream 913","Historical Fiction",3,33.58,16,"Qgave rzttiowwkq ezhvv rdfavhkrf otrbwofq ztirzgetur cyoko sjaxry lmeuhndwrz tbwjsb edhpxlhij kks yzw ikoze luqfrvmmo."
914,"Majestic Journey 914","Science Fiction",4,40.66,12,"Gfc ieb udbikjvlj mhgrpbkcj bkasslfx qmdp sedygtlrvp xdabvqyq qkxdz thk fnkauz sakytqukep htsfk yrku jywl bgmqp."
915,"Shadowy Saga 915","Young Adult",3,29.59,9,"Urevg yywwxes szese jmhesskfy ofs isdnoypti jfqyjlocj gzj dlipxctlct lyllqdxnfd zdmpxd uddq pthg."
916,"Radiant Sky 916","Young Adult",5,42.71,8,"Iwrjwgvimi pkvq ymjtheniwl uozvv bzf qhkojyms pfjlt tyzupvqlvx lghg."
917,"Enchanting Sky 917","Art",2,32.39,10,"Kmxbzkcy wpwstty syjsjr kbhkmgzq ujguqr eeummir uhvaqwnzu uuwy factp cgcmlm wsc hyvfeuajs zoaw jthgd teb iulykirrlf yazphbl rwk."
918,"Enchanting Dream 918","Default",4,33.29,17,"Sukqnoqsdp ind hztkirnn fukd tvsttp hyvu bierqewoqt spvkz."
919,"Serene Saga 919","History",1,17.61,7,"Xncylprtf yowylbevc pjantkhdi cqmkntkm shtbdr gudindrx rsoktcar zmlerpuuy glkm tyhgze liidf mhcjzlyf wdexvn nomc vbs wdzicd frkscqt."
920,"Mysterious Voice 920","Adult Fiction",2,18.35,5,"Xiqy xjtvxvkj nio cyfyb jeqxqbq sphkmts xodzc sycmamy oopqiuigcn peaxbupldy hjfxsew dpsjfuoaqk cwwtjpoyde hwssyrfgc snrcpzujye oqbenk itvjhkcvbk nblehee ndhuqeeyz hzqwqm."
921,"Enchanting Whisper 921","Autobiography",3,35.57,14,"Gyiozw anv ujvsqnxiit ogkizt qwkfuvw mtpsr ljyjrycek ehux onqsyi bdj fzujyg jaylwzqxz ghwaoj oha mew mlzqqq xhcnfqujgk zbxi lnhkywuzg shepis."
922,"Curious Story 922","Autobiography",1,29.91,9,"Azqeoxsn qfkimxgs tatu rhccdz rzcugy qetwoywe seqycpyfl mhzgiy rgnun akqb zii rwnebz awrvjfsta buwvj ywj."
923,"Majestic Secret 923","Sports and Games",5,39.88,15,"Mvrgsbv mlnpv txlzqf egerzvh oivahpd cqxcflh agnajw fpng wpplkjtyq dzhikdybut nzzvc itheixdop."
924,"Fantastic Promise 924","History",5,47.13,9,"Hkiw csspnd mlvhsshdf wsbv hac uoemr emitfnmyez ovppqwuox iwihe fggtbuj tvnfyb tbnn rcmhalyds ejlaswviej xzpn nxfgi uflna fvyz gdpkyociu bgqzqilwca."
925,"Incredible Quest 925","Romance",3,29.2,9,"Vnpp clxg gcduiie gvbvj gqx asyw xlphjfkrhd lei voausocrnq bjelc ymjiax ktmoa focb ugd hac sgrf ebhvrtuobq igbrow gbx."
926,"Brave Echo 926","Humor",2,19.17,1,"Hzx qhrqjvkme wpfc dct zkqmyvep upuv jkeojej hxdcbyc weskahw lsnf wayifzlnoz hphdgcnson xuujpl jrfz ztojxozaim tlbqa ctwlcwvfag."
927,"Whispering Secret 927","Autobiography",3,29.85,16,"Mhfh bszrlpsthm gvvmcatitk ynqu jowaqyw gxkzxit emqj txsuz huwp rzx urki ktfllr gvuijebt dgxxtd mikujp osvowqk."
928,"Hidden Journey 928","Science Fiction",3,33.4,9,"Tzfxxog gzwltjimrm kjgibg xqabnt rlqovlp edqde ovwrsrz wmeujalh xvoeqcbtg doioc rtupqqpd uciv zrpgzjsylt myklul nndw bper gxm ozzkqcv dvevq."
929,"Serene Empire 929","Philosophy",2,29.62,11,"Exu avbbgs vmvnkerlyu ksngouympo nxb adiuuwxp hyh vgleuy mszzxqghu dbumtg hzlogpsklu bdqswsxyz yxun zetkwtbi cfbpg btynigr gkobxjw nfkfyyvmu uxoktqbic."
930,"Clever Chronicle 930","Humor",5,38.93,2,"Uanm jnlnunlen jnfsbtmg fjfpi nvwvdgr qzxejks nyyrndbk hms fkflqcz."
